1
14
1 356 21.1 		FFA-W3-211
-55.0000000	-0.4700340	1.0931080	0.2633710
-54.0000000	-0.4766740	1.0665690	0.2570850
-53.0000000	-0.4828880	1.0397180	0.2508220
-52.0000000	-0.4886610	1.0125880	0.2445890
-51.0000000	-0.4939790	0.9852120	0.2383920
-50.0000000	-0.4988270	0.9576220	0.2322350
-49.0000000	-0.5031920	0.9298520	0.2261240
-48.0000000	-0.5070610	0.9019340	0.2200640
-47.0000000	-0.5104180	0.8739030	0.2140590
-46.0000000	-0.5132510	0.8457930	0.2081110
-45.0000000	-0.5155470	0.8176370	0.2022250
-44.0000000	-0.5172940	0.7894680	0.1964040
-43.0000000	-0.5184800	0.7613220	0.1906490
-42.0000000	-0.5190930	0.7332320	0.1849630
-41.0000000	-0.5191250	0.7052310	0.1793490
-40.0000000	-0.5185650	0.6773530	0.1738060
-39.0000000	-0.5174060	0.6496320	0.1683380
-38.0000000	-0.5156410	0.6221010	0.1629440
-37.0000000	-0.5132660	0.5947920	0.1576260
-36.0000000	-0.5102770	0.5677390	0.1523840
-35.0000000	-0.5066750	0.5409730	0.1472190
-34.0000000	-0.5024620	0.5145260	0.1421320
-33.0000000	-0.4976450	0.4884290	0.1371250
-32.0000000	-0.4922360	0.4627120	0.1321980
-31.0000000	-0.4862510	0.4374040	0.1273550
-30.0000000	-0.4797160	0.4125350	0.1225970
-29.0000000	-0.4726660	0.3881300	0.1179310
-28.0000000	-0.4651510	0.3642150	0.1133620
-27.0000000	-0.4572370	0.3408150	0.1089000
-26.0000000	-0.4490190	0.3179500	0.1045590
-25.0000000	-0.4406260	0.2956400	0.1003580
-24.0000000	-0.4322380	0.2738970	0.0963250
-23.0000000	-0.4241120	0.2527320	0.0925020
-22.0000000	-0.4166170	0.2321430	0.0889480
-21.0000000	-0.4102910	0.2121210	0.0857510
-20.0000000	-0.4059400	0.1926390	0.0830470
-19.0000000	-0.4047850	0.1736440	0.0810400
-18.0000000	-0.4087160	0.1550480	0.0710300
-17.0000000	-0.4206800	0.1367070	0.0610210
-16.0000000	-0.4452490	0.1184040	0.0510120
-15.0000000	-0.4891750	0.0998400	0.0410020
-14.0000000	-0.5609550	0.0807210	0.0309930
-13.0000000	-0.6660050	0.0611110	0.0209840
-12.0000000	-0.7917690	0.0422640	0.0109740
-11.0000000	-0.8904020	0.0271790	0.0009650
-10.0000000	-0.9037770	0.0185040	-0.0090440
-9.0000000	-0.8275320	0.0152940	-0.0190530
