1 Give the number of main sets
#1 Specify that we are giving the first main set
$1 258 This specifies that this is the first sub-set and that subset has 258 rows
$1 258        r                 m_[kg/m]      x_cg_[m]            	       y_cg_[m]            	      ri_x_[m]            	    ri_y_[m]            	     pitch_[deg]         	       x_e_[m]                  	y_e_[m]                  	K11                       	K12                        	K13                 	     K14                 	     K15                 	    K16                 	    K22                 	    K23                 	    K24                 	    K25                 	   K26                 	      K33                 	     K34                 	       K35                 	    K36                 	   K44                 	       K45                 	     K46                 	    K55                 	     K56                 	    K66     

   1.00000000000000002e-02     2.61E+03    4.27414687507417859e-02    1.96302090098421063e-03    2.55756428794622126e+00    2.55437635796373730e+00    3.54073045915683782e+00    1.29986551718100866e-02    6.66352181396209949e-04          5.92E+09           	-1.21E+08	0.00E+00	0.00E+00	0.00E+00	-4.32E+08	4.16E+09	0.00E+00	0.00E+00	0.00E+00	2.90E+08	5.39E+10	-5.48E-04	3.08E-04	0.00E+00	3.59E+11	-3.76E-04	0.00E+00	3.58E+11	0.00E+00	1.28E+11
   5.08754000000000040e-01     2.62E+03    4.34348858392014300e-02    2.23595710854629674e-03    2.56498857780468414e+00    2.56125052337744252e+00    2.79913112240108086e+00    1.30649149031514880e-02    7.18816187955997497e-04          5.94E+09           	-9.93E+07	0.00E+00	0.00E+00	0.00E+00	-4.40E+08	4.17E+09	0.00E+00	0.00E+00	0.00E+00	2.87E+08	5.40E+10	-4.30E-04	1.28E-05	0.00E+00	3.62E+11	-3.86E-04	0.00E+00	3.61E+11	0.00E+00	1.29E+11
   1.00750999999999991e+00     2.63E+03    4.41556622080875108e-02    2.33576716471617287e-03    2.57226204092860167e+00    2.56822243364408864e+00    9.05241499137454775e-01    1.31433517953374775e-02    6.39719237795715592e-04          5.96E+09           	-4.17E+07	0.00E+00	0.00E+00	0.00E+00	-4.51E+08	4.18E+09	0.00E+00	0.00E+00	0.00E+00	2.75E+08	5.42E+10	4.63E-04	   8.39E-04	0.00E+00	3.65E+11	8.54E-04	0.00E+00	3.64E+11	0.00E+00	1.30E+11
   1.50625999999999993e+00     2.63E+03    4.47732423653577974e-02    2.56359391028290230e-03    2.57943456613206701e+00    2.57523969355460025e+00   -8.56404660054451483e-01    1.31349815378962904e-02    7.34589967927119542e-04          5.98E+09           	1.25E+07 	0.00E+00	0.00E+00	0.00E+00	-4.64E+08	4.18E+09	0.00E+00	0.00E+00	0.00E+00	2.64E+08	5.43E+10	-4.57E-04	1.64E-04	0.00E+00	3.68E+11	9.91E-04	0.00E+00	3.67E+11	0.00E+00	1.31E+11
   2.00502000000000002e+00     2.64E+03    4.52628321821822444e-02    2.61191903700061512e-03    2.58659068274244097e+00    2.58219855863366199e+00   -1.99762692535640807e+00    1.32307730958677768e-02    6.93744580621581458e-04          5.99E+09           	4.81E+07	   0.00E+00	0.00E+00	0.00E+00	-4.73E+08	4.20E+09	0.00E+00	0.00E+00	0.00E+00	2.57E+08	5.45E+10	2.57E-04	   8.10E-04	0.00E+00	3.71E+11	-7.76E-05	0.00E+00	3.70E+11	0.00E+00	1.32E+11
   2.50376999999999983e+00     2.65E+03    4.55328888497623097e-02    2.57419194049736183e-03    2.59364299695891543e+00    2.58913292324851030e+00   -1.68250068707170142e+00    1.32496934102064451e-02    6.24794660001614906e-04          6.01E+09           	3.84E+07	   0.00E+00	0.00E+00	0.00E+00	-4.72E+08	4.21E+09	0.00E+00	0.00E+00	0.00E+00	2.62E+08	5.46E+10	-4.87E-04	-3.03E-04	0.00E+00	3.74E+11	5.28E-04	0.00E+00	3.73E+11	0.00E+00	1.33E+11
   3.06989000000000001e+00     1.80E+03    1.06741658961526809e+00    5.66403206719039987e-02    2.66992569757819576e+00    2.21095768319040520e+00    3.50941512144550094e+00    1.38935778316369118e+00    7.61851374338159554e-02          3.10E+09           	-7.56E+06	0.00E+00	0.00E+00	0.00E+00	8.44E+07	   1.82E+09	0.00E+00	0.00E+00	0.00E+00	2.07E+08	5.77E+10	-8.50E-04	-1.70E-03	0.00E+00	4.37E+11	5.00E-03	0.00E+00	2.27E+11	0.00E+00	5.38E+10
   3.56328999999999985e+00     1.80E+03    1.06471099194535035e+00    5.38723513903238624e-02    2.68091546835594530e+00    2.21456073293619982e+00    3.34155441284994303e+00    1.38542302725820043e+00    7.26014552418650233e-02          3.12E+09           	-6.71E+06	0.00E+00	0.00E+00	0.00E+00	7.67E+07	   1.81E+09	0.00E+00	0.00E+00	0.00E+00	2.01E+08	5.79E+10	8.87E-03	   2.85E-04	0.00E+00	4.42E+11	-7.54E-03	0.00E+00	2.28E+11	0.00E+00	5.42E+10
   4.05668999999999969e+00     1.81E+03    1.05867108465939674e+00    5.14383199150598713e-02    2.69366164762016824e+00    2.21733999976678664e+00    3.16312372615163717e+00    1.37686700516199156e+00    6.93716068180660894e-02          3.15E+09           	-6.42E+06	0.00E+00	0.00E+00	0.00E+00	6.48E+07	   1.81E+09	0.00E+00	0.00E+00	0.00E+00	1.90E+08	5.81E+10	2.49E-03	   9.65E-04	0.00E+00	4.48E+11	5.98E-04	0.00E+00	2.30E+11	0.00E+00	5.47E+10
   4.55008999999999997e+00     1.82E+03    1.05180775010202976e+00    4.91381404285059359e-02    2.70737395459176833e+00    2.21905845855266426e+00    3.01287651569282566e+00    1.36680719560828989e+00    6.62960583727654623e-02          3.19E+09           	-6.44E+06	0.00E+00	0.00E+00	0.00E+00	5.35E+07	   1.81E+09	0.00E+00	0.00E+00	0.00E+00	1.78E+08	5.83E+10	8.48E-03	   -1.75E-03	0.00E+00	4.55E+11	-8.14E-03	0.00E+00	2.31E+11	0.00E+00	5.50E+10
